x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,finalOpacity,postLoc,postOri,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,2.5862812999998823,5.152438199999779,0,2.446920699999737,2.5639932999997654,0.06385050000017145,2.574787500000184,,,,,,,,,,,,,,,,,,,,123,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,5.2117215999996915,5.9703145999997105,0,0.6573665999999321,0.7560585000001083,0.004068500000357744,0.7687353000001167,,,,,,,,,,,,,,,,,,,,123,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,6.005808299999899,7.287684399999762,0,1.1961649999998372,1.2795648999999685,0.008970000000317668,1.2936346000001322,,,,,,,,,,,,,,,,,,,,123,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,7.326327299999775,8.455028099999709,0,0.9930446999997002,1.1266520999997738,0.006016100000124425,1.1405091999999968,,,,,,,,,,,,,,,,,,,,123,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,8.490912299999763,9.606158799999776,0,0.9795450999999957,1.1129667000000154,0.00908979999985604,1.1269170000000486,,,,,,,,,,,,,,,,,,,,123,60.0,
152,152,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,9.621981700000106,162.0,2.0,72.0,1.0,5,0.9014273000002504,1.0014909000001353,6,2.7982913000000735,2.9154546999998274,1,1.8009884999996757,1.9196449999999459,,,,,123,60.0,
152,152,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,19.603068200000052,150.0,2.0,72.0,1.0,5,0.6555143000000498,0.7723264000001109,1,1.8537038999998003,2.0045376999996734,1,1.432361199999832,1.6167051999996147,,,,,123,60.0,
152,152,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,27.89088529999981,162.0,2.0,72.0,1.0,5,0.4089504000003217,0.49160550000033254,6,1.0991211000000476,1.1828643000003467,6,1.671384499999931,1.7714564999996583,,,,,123,60.0,
-152,152,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,35.4290818999998,180.0,2.0,72.0,1.0,2,0.3407028999999966,0.45641440000008515,1,1.3526257999997142,1.4689385999995466,6,1.0163548999998966,1.1155767999998716,,,,,123,60.0,
152,152,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,42.868083899999874,180.0,2.0,72.0,1.0,5,0.4366150999999263,0.5531485999999859,1,4.250055599999996,4.366868300000078,1,3.4708166000000347,3.604255100000046,,,,,123,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,55.87366119999979,59.96123200000011,0,3.9851518999998916,4.08536550000008,0.012956199999734963,4.099967899999683,,,,,,,,,,,,,,,,,,,,123,60.0,
,,,0,0,-1,0,0.0969100130080564,0.4,,,,,,,,,staircase,59.97583709999981,132.0,2.0,72.0,0.4,,,,6,2.65933909999967,2.774069199999758,,,,0,,,,123,60.0,
,,,0,1,-1,0,0.0969100130080564,0.5,,,,,,,,,staircase,66.25095699999974,132.0,2.0,72.0,0.5,,,,1,1.804013699999814,1.9040641999999934,,,,1,,,,123,60.0,
,,,0,2,-1,0,0.0969100130080564,0.4,,,,,,,,,staircase,71.67226750000009,132.0,2.0,72.0,0.4,,,,7,1.2212555000000975,1.371420500000113,,,,1,,,,123,60.0,
,,,0,3,-1,0,0.0969100130080564,0.32,,,,,,,,,staircase,76.55882410000004,150.0,2.0,72.0,0.32,,,,0,0.6509992999999668,0.7676830000000336,,,,1,,,,123,60.0,
,,,0,4,-1,0,0.0969100130080564,0.256,,,,,,,,,staircase,81.1454991999999,132.0,2.0,72.0,0.256,,,,1,0.6234183999999914,0.7565884999999071,,,,1,,,,123,60.0,
,,,0,5,-1,0,0.0969100130080564,0.2048,,,,,,,,,staircase,85.3985760999999,126.0,2.0,72.0,0.2048,,,,7,1.189401899999666,1.2556775999996717,,,,1,,,,123,60.0,
,,,0,6,-1,0,0.0969100130080564,0.16384,,,,,,,,,staircase,90.06909859999996,162.0,2.0,72.0,0.16384,,,,0,0.41804999999976644,0.584670499999902,,,,1,,,,123,60.0,
,,,0,7,-1,0,0.0969100130080564,0.13107200000000002,,,,,,,,,staircase,94.67236610000009,180.0,2.0,72.0,0.13107200000000002,,,,0,0.5879872999998952,0.7384041000000252,,,,1,,,,123,60.0,
,,,0,8,-1,0,0.0969100130080564,0.10485760000000002,,,,,,,,,staircase,99.72685719999981,132.0,2.0,72.0,0.10485760000000002,,,,7,1.0525292000002082,1.2026091000002452,,,,1,,,,123,60.0,
,,,0,9,-1,0,0.0969100130080564,0.08388608000000002,,,,,,,,,staircase,104.4465325000001,126.0,2.0,72.0,0.08388608000000002,,,,1,1.9038384000000406,2.070375100000092,,,,0,,,,123,60.0,
,,,0,10,-1,0,0.0969100130080564,0.10485760000000002,,,,,,,,,staircase,109.93400789999987,132.0,2.0,72.0,0.10485760000000002,,,,7,0.8721910000003845,1.0052026000003025,,,,1,,,,123,60.0,
,,,0,11,-1,0,0.0969100130080564,0.08388608000000002,,,,,,,,,staircase,114.45498139999972,156.0,2.0,72.0,0.08388608000000002,,,,6,1.7023064999998496,1.7858440999998493,,,,1,,,,123,60.0,
,,,0,12,-1,0,0.0969100130080564,0.06710886400000002,,,,,,,,,staircase,120.15884150000011,144.0,2.0,72.0,0.06710886400000002,,,,6,0.40696029999980965,0.5577540999997836,,,,1,,,,123,60.0,
,,,0,13,-1,0,0.0969100130080564,0.053687091200000016,,,,,,,,,staircase,124.41289219999999,180.0,2.0,72.0,0.053687091200000016,,,,0,2.288402000000133,2.4389593999999306,,,,1,,,,123,60.0,
,,,0,14,-1,0,0.0969100130080564,0.04294967296000001,,,,,,,,,staircase,131.16748719999987,144.0,2.0,72.0,0.04294967296000001,,,,0,0.512547799999993,0.6459110000000692,,,,0,,,,123,60.0,
,,,0,15,-1,0,0.0969100130080564,0.053687091200000016,,,,,,,,,staircase,135.53707489999988,180.0,2.0,72.0,0.053687091200000016,,,,6,0.8727540999998382,1.0062315000000126,,,,1,,,,123,60.0,
,,,0,16,-1,0,0.0969100130080564,0.04294967296000001,,,,,,,,,staircase,140.8411315999997,174.0,2.0,72.0,0.04294967296000001,,,,0,0.26900000000023283,0.40249560000029305,,,,1,,,,123,60.0,
,,,0,17,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,145.46134230000007,138.0,2.0,72.0,0.034359738368000006,,,,7,2.2872761999997238,2.370733100000052,,,,0,,,,123,60.0,
,,,0,18,-1,0,0.0969100130080564,0.042949672960000004,,,,,,,,,staircase,151.4492365000001,126.0,2.0,72.0,0.042949672960000004,,,,7,1.7579805999998825,1.891375799999878,,,,0,,,,123,60.0,
,,,0,19,-1,0,0.0969100130080564,0.05368709120000001,,,,,,,,,staircase,156.73659659999976,168.0,2.0,72.0,0.05368709120000001,,,,0,0.3881173999998282,0.4867490000001453,,,,1,,,,123,60.0,
,,,0,20,-1,0,0.0969100130080564,0.042949672960000004,,,,,,,,,staircase,161.34008409999979,138.0,2.0,72.0,0.042949672960000004,,,,0,0.26947440000003553,0.3687967999999273,,,,1,,,,123,60.0,
,,,0,21,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,165.32644459999983,150.0,2.0,72.0,0.034359738368000006,,,,6,0.5371617999999216,0.6539606999999705,,,,1,,,,123,60.0,
,,,0,22,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,169.79658040000004,132.0,2.0,72.0,0.027487790694400004,,,,7,1.8078406999998151,1.925739700000122,,,,1,,,,123,60.0,
,,,0,23,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,175.21865690000004,168.0,2.0,72.0,0.021990232555520003,,,,0,0.5760276999999405,0.7071169999999256,,,,1,,,,123,60.0,
,,,0,24,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,180.02129269999978,168.0,2.0,72.0,0.017592186044416,,,,7,0.9011286999998447,1.0512628000001314,,,,1,,,,123,60.0,
,,,0,25,-1,0,0.0969100130080564,0.014073748835532801,,,,,,,,,staircase,185.19162830000005,138.0,2.0,72.0,0.014073748835532801,,,,7,0.721528600000056,0.8716669000000365,,,,0,,,,123,60.0,
,,,0,26,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,189.6783921000001,150.0,2.0,72.0,0.017592186044416,,,,7,0.5860930000003464,0.7026920000002974,,,,1,,,,123,60.0,
,,,0,27,-1,0,0.0969100130080564,0.014073748835532801,,,,,,,,,staircase,194.19838690000006,150.0,2.0,72.0,0.014073748835532801,,,,7,0.5663983999997981,0.699921699999777,,,,0,,,,123,60.0,
,,,0,-1,-1,0,,,materials/instructions\11_session_start.png,198.75414969999974,209.5083150999999,0,10.635496100000182,10.752009700000144,0.008190200000171899,10.766939600000114,,,,,,,,,,,,,,,,,,,,123,60.0,
,,,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017064420463083523,,,123,60.0,
152,-152,0,0,0,0,9,,,,,,,,,,,session,209.52492260000008,150.0,2.0,72.0,0.017064420463083523,5,1.8364970000002359,1.953320000000076,7,1.3255034000003434,1.4597078000001602,0,0.5227905000001556,0.6397187000002305,,,63.0,66.0,123,60.0,
152,-152,45,0,1,1,10,,,,,,,,,,,session,219.65361369999982,132.0,2.0,72.0,0.017064420463083523,5,1.188127699999768,1.3216339999999036,7,0.8903110000001107,1.0063881000000947,0,0.72551489999978,0.8430248999998184,,,66.0,63.0,123,60.0,
152,152,90,0,2,2,3,,,,,,,,,,,session,228.6103607,162.0,2.0,72.0,0.017064420463083523,5,1.0727715000002718,1.2064384999998765,7,0.6583534000001237,0.8092451000002256,0,0.30602120000003197,0.4561358000000837,,,54.0,63.0,123,60.0,
-152,152,90,0,3,3,7,,,,,,,,,,,session,237.14974099999972,168.0,2.0,72.0,0.017064420463083523,5,0.5354692999999315,0.7198208999998315,7,0.3733846000000085,0.49018200000000434,0,43.541595600000164,43.65834700000005,,,69.0,54.0,123,60.0,
-152,-152,90,0,4,4,15,,,,,,,,,,,session,288.3061150999997,180.0,2.0,72.0,0.017064420463083523,5,1.3030627999996796,1.4209234999998444,7,0.6920569999992949,0.8088251999997738,0,0.441563600000336,0.5742516000000251,,,57.0,66.0,123,60.0,
152,152,-45,0,5,5,0,,,,,,,,,,,session,297.5795271000002,156.0,2.0,72.0,0.017064420463083523,5,0.8368239999999787,0.9712929000006625,7,0.4236178999999538,0.5737621999996918,0,1.2758001000001968,1.409156300000177,,,72.0,66.0,123,60.0,
152,-152,90,0,6,6,11,,,,,,,,,,,session,306.8701931999999,126.0,2.0,72.0,0.017064420463083523,5,1.1084499999997206,1.2580723999999464,7,0.8256885999999213,0.9257689000005485,0,3.9930279000000155,4.109997100000328,,,69.0,66.0,123,60.0,
