x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,4.381227599922568,16.025775099988095,0,11.602331700036302,11.6430520999711,0.060928800026886165,11.641043800045736,,,,,,,,,,,,,,,,1,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,16.07130809989758,16.225677499896847,0,0.15268990001641214,0.04474000004120171,0.01824780006427318,0.17152790003456175,,,,,,,,,,,,,,,,1,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,16.293399299960583,16.44021909998264,0,0.14489589992444962,0.03842249989975244,0.01253160007763654,0.1462553000310436,,,,,,,,,,,,,,,,1,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,16.473860499914736,16.66757269995287,0,0.19141119997948408,0.07478199992328882,0.015190200065262616,0.19901030010078102,,,,,,,,,,,,,,,,1,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,16.70356279995758,16.85210549994372,0,0.14575639995746315,0.044865099946036935,0.019451800035312772,0.1527851999271661,,,,,,,,,,,,,,,,1,60.0,
-77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,16.865647499915212,138.0,2.0,72.0,0.1,2,0.3590705000096932,0.45929639996029437,0,1.0304116000188515,1.197055199998431,0,0.3906314999330789,0.5744585999054834,1,60.0,
77,77,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,22.895205299952067,174.0,2.0,72.0,0.1,5,0.38385680003557354,0.5504464999539778,0,0.6073915000306442,0.7745057999854907,0,0.3333166999509558,0.5505646000383422,1,60.0,
77,77,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,29.04673309996724,138.0,2.0,72.0,0.1,5,0.36600050004199147,0.5495105000445619,0,0.47464870009571314,0.6741542000090703,0,0.2536451000487432,0.4180787999648601,1,60.0,
77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,34.36624110001139,168.0,2.0,72.0,0.1,5,0.3073095000581816,0.41150190006010234,0,0.2590820000041276,0.3803469000849873,0,0.23971720004919916,0.011180900037288666,1,60.0,
,,,,,,,,,,,,,,,,,session,39.86556169996038,,,,,,,,,,,,,,,,
