x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,finalOpacity,postLoc,postOri,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,2.7313035000115633,32.12011979997624,0,29.1527118999511,29.38672939990647,0.07281879999209195,29.388476000051014,,,,,,,,,,,,,,,,,,,,67809,64.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,32.17369249998592,54.83667989994865,0,22.427620699978434,22.661127500003204,0.014700200059451163,22.669123900006525,,,,,,,,,,,,,,,,,,,,67809,64.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,54.893436299986206,66.44559829996433,0,11.239229399943724,11.55018299992662,0.012396799982525408,11.558237200020812,,,,,,,,,,,,,,,,,,,,67809,64.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,66.50108680000994,87.25155150005594,0,20.443850599927828,20.74863279995043,0.01319209998473525,20.754006800008938,,,,,,,,,,,,,,,,,,,,67809,64.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,87.31072439998388,100.58773739996832,0,12.84132739994675,13.274977599969134,0.019811699981801212,13.28301619994454,,,,,,,,,,,,,,,,,,,,67809,64.0,
-152,152,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,100.60391539998818,173.0,2.0,77.0,1.0,2,5.7946717999875546,6.084110499941744,0,5.645890700048767,6.050424100016244,0,2.983313399949111,3.283136500045657,,,,,67809,64.0,
152,152,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,120.62579800002277,192.0,2.0,77.0,1.0,5,1.5259916000068188,1.892757400055416,6,2.055235299980268,2.3722317999927327,6,2.9799289000220597,3.244499000022188,,,,,67809,64.0,
152,152,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,133.11732830002438,154.0,2.0,77.0,1.0,5,1.1097584000090137,1.5074908999959007,7,1.416518099955283,1.734293199959211,6,2.0927886000135913,2.4267177999718115,,,,,67809,64.0,
152,152,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,142.92494599998463,192.0,2.0,77.0,1.0,5,1.043337699957192,1.4100811999524012,0,1.4316429999889806,1.7599658999824896,6,1.7897474000928923,2.1593071999959648,,,,,67809,64.0,
152,152,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,153.15103479998652,134.0,2.0,77.0,1.0,5,1.2546700000530109,1.654252600041218,1,1.7613911000080407,2.110712300054729,1,3.0331577999750152,3.3668126000557095,,,,,67809,64.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,164.12043290003203,184.78586509998422,0,20.364265399985015,20.66357340000104,0.019123299978673458,20.671934599988163,,,,,,,,,,,,,,,,,,,,67809,64.0,
,,,0,0,-1,0,0.0969100130080564,0.4,,,,,,,,,staircase,184.801044599968,192.0,2.0,77.0,0.4,,,,1,1.9234385000308976,2.2089162999764085,,,,1,,,,67809,64.0,
,,,0,1,-1,0,0.0969100130080564,0.32,,,,,,,,,staircase,191.92878359998576,186.0,2.0,77.0,0.32,,,,7,1.3251433999976143,1.6745527000166476,,,,0,,,,67809,64.0,
,,,0,2,-1,0,0.0969100130080564,0.4,,,,,,,,,staircase,198.3480292999884,134.0,2.0,77.0,0.4,,,,0,0.7371736998902634,1.0735414999071509,,,,1,,,,67809,64.0,
,,,0,3,-1,0,0.0969100130080564,0.32,,,,,,,,,staircase,203.05501200002618,154.0,2.0,77.0,0.32,,,,1,1.776535200071521,2.0832771999994293,,,,1,,,,67809,64.0,
,,,0,4,-1,0,0.0969100130080564,0.256,,,,,,,,,staircase,209.32971089996863,173.0,2.0,77.0,0.256,,,,0,0.44878560001961887,0.7619788000592962,,,,1,,,,67809,64.0,
,,,0,5,-1,0,0.0969100130080564,0.2048,,,,,,,,,staircase,214.59672360005789,186.0,2.0,77.0,0.2048,,,,0,0.6832519000163302,0.9999100000131875,,,,1,,,,67809,64.0,
,,,0,6,-1,0,0.0969100130080564,0.16384,,,,,,,,,staircase,220.33214650000446,186.0,2.0,77.0,0.16384,,,,1,0.8521193000487983,1.16345720004756,,,,1,,,,67809,64.0,
,,,0,7,-1,0,0.0969100130080564,0.13107200000000002,,,,,,,,,staircase,226.07004300004337,179.0,2.0,77.0,0.13107200000000002,,,,1,1.2354459000052884,1.5356859000166878,,,,1,,,,67809,64.0,
,,,0,8,-1,0,0.0969100130080564,0.10485760000000002,,,,,,,,,staircase,232.20829830004368,141.0,2.0,77.0,0.10485760000000002,,,,0,0.4941686999518424,0.9448557000141591,,,,1,,,,67809,64.0,
,,,0,9,-1,0,0.0969100130080564,0.08388608000000002,,,,,,,,,staircase,237.1132519999519,173.0,2.0,77.0,0.08388608000000002,,,,0,0.7958194999955595,1.175026800017804,,,,1,,,,67809,64.0,
,,,0,10,-1,0,0.0969100130080564,0.06710886400000002,,,,,,,,,staircase,242.83259620005265,192.0,2.0,77.0,0.06710886400000002,,,,0,0.3491883999668062,0.6878536000149325,,,,1,,,,67809,64.0,
,,,0,11,-1,0,0.0969100130080564,0.053687091200000016,,,,,,,,,staircase,248.19189569994342,141.0,2.0,77.0,0.053687091200000016,,,,0,0.3611181000014767,0.6781505999388173,,,,1,,,,67809,64.0,
,,,0,12,-1,0,0.0969100130080564,0.04294967296000001,,,,,,,,,staircase,252.85716230003163,147.0,2.0,77.0,0.04294967296000001,,,,0,0.32814600004348904,0.7633462999947369,,,,1,,,,67809,64.0,
,,,0,13,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,257.662273199996,186.0,2.0,77.0,0.034359738368000006,,,,0,2.533110500080511,3.014248499996029,,,,1,,,,67809,64.0,
,,,0,14,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,265.40257260005455,160.0,2.0,77.0,0.027487790694400004,,,,1,3.124772400013171,3.463412000099197,,,,0,,,,67809,64.0,
,,,0,15,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,272.9431241999846,173.0,2.0,77.0,0.034359738368000006,,,,7,1.626562500023283,1.9374905999284238,,,,1,,,,67809,64.0,
,,,0,16,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,279.4433097000001,147.0,2.0,77.0,0.027487790694400004,,,,7,2.194763300009072,2.445226600044407,,,,1,,,,67809,64.0,
,,,0,17,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,285.8323011000175,160.0,2.0,77.0,0.021990232555520003,,,,1,2.182620899984613,2.516729600029066,,,,0,,,,67809,64.0,
,,,0,18,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,292.5207043000264,173.0,2.0,77.0,0.027487790694400004,,,,6,1.2542545000324026,1.5540244999574497,,,,1,,,,67809,64.0,
,,,0,19,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,298.6246650000103,166.0,2.0,77.0,0.021990232555520003,,,,1,1.8092876999871805,2.159801899921149,,,,0,,,,67809,64.0,
,,,0,20,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,305.1967737999512,147.0,2.0,77.0,0.027487790694400004,,,,0,1.1264917000662535,1.608135599992238,,,,1,,,,67809,64.0,
,,,0,21,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,310.76555350003764,154.0,2.0,77.0,0.021990232555520003,,,,0,1.1695559000363573,1.5523546999320388,,,,1,,,,67809,64.0,
,,,0,22,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,316.3563352000201,166.0,2.0,77.0,0.017592186044416,,,,1,2.1725564000662416,2.722370400093496,,,,0,,,,67809,64.0,
,,,0,23,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,323.4620333999628,186.0,2.0,77.0,0.021990232555520003,,,,6,2.0772475000703707,2.679047100013122,,,,1,,,,67809,64.0,
,,,0,24,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,330.9013456000248,134.0,2.0,77.0,0.017592186044416,,,,0,2.163352300063707,2.512882300070487,,,,1,,,,67809,64.0,
,,,0,25,-1,0,0.0969100130080564,0.014073748835532801,,,,,,,,,staircase,337.13657500001136,166.0,2.0,77.0,0.014073748835532801,,,,7,2.5197338999714702,2.8297916000010446,,,,0,,,,67809,64.0,
,,,0,26,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,344.25914970005397,186.0,2.0,77.0,0.017592186044416,,,,1,2.0454496999736875,2.4647830999456346,,,,0,,,,67809,64.0,
,,,0,27,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,351.33441809995566,147.0,2.0,77.0,0.021990232555520003,,,,6,1.8528023000108078,2.1074416000628844,,,,0,,,,67809,64.0,
,,,0,28,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,357.30424550001044,141.0,2.0,77.0,0.027487790694400004,,,,1,1.2290280000306666,1.5459850000916049,,,,1,,,,67809,64.0,
,,,0,29,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,362.89088379999157,192.0,2.0,77.0,0.021990232555520003,,,,0,1.3780391999753192,1.7638329999754205,,,,0,,,,67809,64.0,
,,,0,30,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,369.598169600009,173.0,2.0,77.0,0.027487790694400004,,,,1,1.431492800009437,1.751692800084129,,,,0,,,,67809,64.0,
,,,0,31,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,375.8070839999709,160.0,2.0,77.0,0.034359738368000006,,,,0,0.7476212999317795,1.0956439999863505,,,,1,,,,67809,64.0,
,,,0,32,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,381.1903141000075,179.0,2.0,77.0,0.027487790694400004,,,,7,1.6947359000332654,1.942761000012979,,,,1,,,,67809,64.0,
,,,0,33,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,387.7077454000246,160.0,2.0,77.0,0.021990232555520003,,,,1,1.2197298000101,1.5615048999898136,,,,0,,,,67809,64.0,
,,,0,34,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,393.63113770005293,173.0,2.0,77.0,0.027487790694400004,,,,6,1.2933052000589669,1.561173800029792,,,,1,,,,67809,64.0,
,,,0,35,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,399.5662884999765,166.0,2.0,77.0,0.021990232555520003,,,,1,2.0254786000587046,2.29544190003071,,,,0,,,,67809,64.0,
,,,0,36,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,406.2737673999509,134.0,2.0,77.0,0.027487790694400004,,,,7,1.0555299000116065,1.322923600091599,,,,1,,,,67809,64.0,
,,,0,37,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,411.41260499996133,134.0,2.0,77.0,0.021990232555520003,,,,0,1.1205809999955818,1.4526611999608576,,,,1,,,,67809,64.0,
,,,0,38,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,416.7318245000206,166.0,2.0,77.0,0.017592186044416,,,,0,0.8926676999544725,1.4931125999428332,,,,0,,,,67809,64.0,
,,,0,39,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,422.45328779995907,166.0,2.0,77.0,0.021990232555520003,,,,1,1.994802700006403,2.372987600043416,,,,0,,,,67809,64.0,
,,,0,40,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,429.2916371000465,179.0,2.0,77.0,0.027487790694400004,,,,6,1.1150665999157354,1.42691359994933,,,,1,,,,67809,64.0,
,,,0,41,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,435.3598721999442,166.0,2.0,77.0,0.021990232555520003,,,,0,1.3006440000608563,1.6950782999629155,,,,0,,,,67809,64.0,
,,,0,42,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,441.4010105000343,192.0,2.0,77.0,0.027487790694400004,,,,1,1.6821003999793902,2.0321995000122115,,,,0,,,,67809,64.0,
,,,0,43,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,448.23946630000137,166.0,2.0,77.0,0.034359738368000006,,,,0,1.2426756999921054,1.6060278000077233,,,,1,,,,67809,64.0,
,,,0,44,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,454.2770516000455,134.0,2.0,77.0,0.027487790694400004,,,,6,1.9815877999644727,2.216799500049092,,,,0,,,,67809,64.0,
,,,0,45,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,460.30440589995123,179.0,2.0,77.0,0.034359738368000006,,,,7,1.2558635000605136,1.4555979000870138,,,,1,,,,67809,64.0,
,,,0,46,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,466.1709420999978,147.0,2.0,77.0,0.027487790694400004,,,,6,1.929765300010331,2.2244226000038907,,,,0,,,,67809,64.0,
,,,0,47,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,472.5414905999787,134.0,2.0,77.0,0.034359738368000006,,,,0,0.8196656999643892,1.11978279997129,,,,1,,,,67809,64.0,
,,,0,48,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,477.5626655999804,186.0,2.0,77.0,0.027487790694400004,,,,7,1.0031857000431046,1.218935800017789,,,,1,,,,67809,64.0,
,,,0,49,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,483.53351239999756,173.0,2.0,77.0,0.021990232555520003,,,,0,0.9800559999421239,1.5187876999843866,,,,0,,,,67809,64.0,
,,,0,50,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,489.32537430000957,192.0,2.0,77.0,0.027487790694400004,,,,1,1.6415488999336958,1.8824770000064746,,,,0,,,,67809,64.0,
,,,0,51,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,496.04656659998,192.0,2.0,77.0,0.034359738368000006,,,,6,2.3671921000350267,2.7673401000211015,,,,1,,,,67809,64.0,
,,,0,52,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,503.58107069996186,192.0,2.0,77.0,0.027487790694400004,,,,1,1.194611300015822,1.4973674999782816,,,,0,,,,67809,64.0,
,,,0,53,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,509.7532462000381,160.0,2.0,77.0,0.034359738368000006,,,,7,1.6253495999844745,1.8604391999542713,,,,1,,,,67809,64.0,
,,,0,54,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,515.989394400036,186.0,2.0,77.0,0.027487790694400004,,,,0,1.4901961999712512,1.8940304999705404,,,,1,,,,67809,64.0,
,,,0,55,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,522.6183480999898,160.0,2.0,77.0,0.021990232555520003,,,,6,2.362807200057432,2.7507460999768227,,,,0,,,,67809,64.0,
,,,0,56,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,529.5891358000226,134.0,2.0,77.0,0.027487790694400004,,,,1,1.1689560000086203,1.4883538000285625,,,,1,,,,67809,64.0,
,,,0,57,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,534.9074393999763,173.0,2.0,77.0,0.021990232555520003,,,,0,2.345730100059882,2.6248212000355124,,,,1,,,,67809,64.0,
,,,0,58,-1,0,0.0969100130080564,0.017592186044416,,,,,,,,,staircase,542.077750000055,134.0,2.0,77.0,0.017592186044416,,,,1,1.3705607999581844,1.8218032999429852,,,,0,,,,67809,64.0,
,,,0,59,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,547.7843210999854,173.0,2.0,77.0,0.021990232555520003,,,,6,1.8819663999602199,2.2926585999084637,,,,0,,,,67809,64.0,
,,,0,60,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,554.3866141999606,147.0,2.0,77.0,0.027487790694400004,,,,1,1.6325528000015765,1.9129026000155136,,,,1,,,,67809,64.0,
,,,0,61,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,560.4266522000544,173.0,2.0,77.0,0.021990232555520003,,,,0,1.1448623000178486,1.4450745000503957,,,,0,,,,67809,64.0,
,,,0,62,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,566.4304737000493,141.0,2.0,77.0,0.027487790694400004,,,,1,1.3907134999753907,1.7305054999887943,,,,1,,,,67809,64.0,
,,,0,63,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,572.1040351999691,166.0,2.0,77.0,0.021990232555520003,,,,1,2.2311960000079125,2.4113025000551715,,,,0,,,,67809,64.0,
,,,0,64,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,578.8218879000051,179.0,2.0,77.0,0.027487790694400004,,,,0,0.4421798000112176,0.6135503000114113,,,,1,,,,67809,64.0,
,,,0,65,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,584.1164682999952,147.0,2.0,77.0,0.021990232555520003,,,,6,1.6309321000007913,1.8304349000100046,,,,0,,,,67809,64.0,
,,,0,66,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,590.0182352999691,192.0,2.0,77.0,0.027487790694400004,,,,7,2.242629799991846,2.4424959999741986,,,,0,,,,67809,64.0,
,,,0,67,-1,0,0.0969100130080564,0.034359738368000006,,,,,,,,,staircase,597.1039811000228,186.0,2.0,77.0,0.034359738368000006,,,,6,1.2856275000376627,1.5817026000004262,,,,1,,,,67809,64.0,
,,,0,68,-1,0,0.0969100130080564,0.027487790694400004,,,,,,,,,staircase,603.4423276999732,166.0,2.0,77.0,0.027487790694400004,,,,1,1.0286926999688148,1.260647299932316,,,,1,,,,67809,64.0,
,,,0,69,-1,0,0.0969100130080564,0.021990232555520003,,,,,,,,,staircase,609.183022000012,173.0,2.0,77.0,0.021990232555520003,,,,0,0.8730434000026435,1.1712623999919742,,,,0,,,,67809,64.0,
,,,0,-1,-1,0,,,materials/instructions\11_session_start.png,614.8885840000585,626.3767109999899,0,11.037219499936327,11.48635020002257,0.011624100035987794,11.49385930004064,,,,,,,,,,,,,,,,,,,,67809,64.0,
,,,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026883059299123206,,,67809,64.0,
152,-152,-45,0,0,0,8,,,,,,,,,,,session,626.3934980999911,160.0,2.0,77.0,0.026883059299123206,4,2.155805899994448,2.509492599987425,1,1.7940721999621019,1.9757538000121713,1,2.427819599979557,2.5662289999891073,,,70.0,54.0,67809,64.0,
-152,152,90,0,1,1,7,,,,,,,,,,,session,639.9585793999722,166.0,2.0,77.0,0.026883059299123206,2,1.3868060999084264,1.6038236999884248,6,1.011165100033395,1.2740247999317944,1,1.4426584000466391,1.6440438999561593,,,74.0,61.0,67809,64.0,
-152,-152,-45,0,2,2,12,,,,,,,,,,,session,651.4144691999536,179.0,2.0,77.0,0.026883059299123206,3,1.1867226000176743,1.4691094000590965,1,1.3194607999175787,1.5662366999313235,1,1.2378001000033692,1.4395372999133542,,,67.0,51.0,67809,64.0,
-152,152,45,0,3,3,6,,,,,,,,,,,session,662.7042694999836,134.0,2.0,77.0,0.026883059299123206,3,2.746434099972248,3.136528700008057,7,1.2467024999205023,1.4119898999342695,0,2.3768286999547854,2.560827099950984,,,77.0,54.0,67809,64.0,
-152,-152,45,0,4,4,14,,,,,,,,,,,session,676.065584499971,160.0,2.0,77.0,0.026883059299123206,3,1.0172105999663472,1.2735304000088945,7,1.5295169000746682,1.723723000031896,1,1.038970399997197,1.255686099990271,,,77.0,58.0,67809,64.0,
152,152,-45,0,5,5,0,,,,,,,,,,,session,686.9574959999882,160.0,2.0,77.0,0.026883059299123206,5,0.7209090999094769,0.906559299910441,1,0.49355649994686246,0.7247666999464855,1,0.44093449995853007,0.6595039999810979,,,58.0,54.0,67809,64.0,
-152,-152,90,0,6,6,15,,,,,,,,,,,session,695.6162431000266,141.0,2.0,77.0,0.026883059299123206,2,2.3346591000445187,2.534879000042565,7,3.5350888000102714,3.716420599957928,0,0.7063964999979362,0.8746936999959871,,,70.0,61.0,67809,64.0,
152,152,0,0,7,7,1,,,,,,,,,,,session,709.024883099948,173.0,2.0,77.0,0.026883059299123206,5,0.7810355999972671,0.9704414999578148,1,1.2739606000250205,1.440574900014326,1,0.7658085000002757,0.9828933000098914,,,64.0,61.0,67809,64.0,
152,-152,90,0,8,8,11,,,,,,,,,,,session,719.1975571999792,147.0,2.0,77.0,0.026883059299123206,4,2.163705899962224,2.4772441999521106,0,1.0292243000585586,1.3334887999808416,0,1.9360914001008496,2.1207549000391737,,,51.0,61.0,67809,64.0,
-152,-152,0,0,9,9,13,,,,,,,,,,,session,731.1080327000236,147.0,2.0,77.0,0.026883059299123206,3,0.8146783000556752,1.0981719000265002,0,0.6446510000387207,0.8661134999711066,1,1.468330700066872,1.6360948000801727,,,54.0,58.0,67809,64.0,
152,152,90,0,10,10,3,,,,,,,,,,,session,740.814578599995,141.0,2.0,77.0,0.026883059299123206,5,0.8945119000272825,1.08191499998793,6,1.0795702000614256,1.2636189000913873,1,1.1612584999529645,1.3625242999987677,,,51.0,58.0,67809,64.0,
-152,152,0,0,11,11,5,,,,,,,,,,,session,750.3058359000133,141.0,2.0,77.0,0.026883059299123206,4,4.3235563999041915,4.58724209992215,7,2.559970600064844,2.7124569000443444,0,0.7934893000638112,0.9783611000748351,,,51.0,70.0,67809,64.0,
152,-152,0,0,12,12,9,,,,,,,,,,,session,764.6520342000294,173.0,2.0,77.0,0.026883059299123206,4,0.7047663999255747,0.9388680999400094,0,0.35308859997894615,0.5520712999859825,1,1.114643199951388,1.3146962999599054,,,64.0,70.0,67809,64.0,
152,152,45,0,13,13,2,,,,,,,,,,,session,774.1740881999722,192.0,2.0,77.0,0.026883059299123206,5,0.761564000044018,0.9603511999594048,7,1.1399514999939129,1.308607800048776,1,1.0173660999862477,1.1644631999079138,,,67.0,58.0,67809,64.0,
-152,152,-45,0,14,14,4,,,,,,,,,,,session,784.5986775000347,147.0,2.0,77.0,0.026883059299123206,3,3.4948668000288308,3.7283799999859184,7,1.2860851000295952,1.4344990000827238,0,0.35552099999040365,0.555724999983795,,,70.0,77.0,67809,64.0,
152,-152,45,0,15,15,10,,,,,,,,,,,session,796.8580387999536,160.0,2.0,77.0,0.026883059299123206,5,1.4443635999923572,1.6286979999858886,1,1.3244427000172436,1.512074299971573,0,0.3305002999259159,0.4804403999587521,,,64.0,67.0,67809,64.0,
152,-152,90,1,0,16,11,,,,,,,,,,,session,807.1325919999508,173.0,2.0,77.0,0.026883059299123206,4,0.7951755999820307,1.0093170000473037,6,1.0479926998959854,1.2423274999018759,1,0.8035768000409007,1.0037245000712574,,,64.0,74.0,67809,64.0,
152,152,90,1,1,17,3,,,,,,,,,,,session,817.2069068000419,160.0,2.0,77.0,0.026883059299123206,5,0.7185375000117347,0.8893924000440165,6,1.1425420000450686,1.3129260999849066,1,0.5161970999324694,0.69862399995327,,,74.0,58.0,67809,64.0,
-152,-152,0,1,2,18,13,,,,,,,,,,,session,826.6806762999622,186.0,2.0,77.0,0.026883059299123206,3,1.0409938000375405,1.2623758000554517,0,1.1410546000115573,1.326386599917896,1,0.41266140004154295,0.6284627000568435,,,77.0,51.0,67809,64.0,
152,152,45,1,3,19,2,,,,,,,,,,,session,836.8375331000425,154.0,2.0,77.0,0.026883059299123206,3,1.2108850000659004,1.525084700086154,6,1.0268407000694424,1.2165934999939054,0,0.3762887000339106,0.5224983000662178,,,67.0,54.0,67809,64.0,
152,152,45,1,3,19,2,,,materials/instructions\12_break.png,846.5375811000122,859.6341902000131,0,12.89354639989324,13.094613899942487,0.028450399986468256,13.101709799957462,,,,,,,,,,,,,,,,,,,,67809,64.0,
-152,-152,45,1,4,20,14,,,,,,,,,,,session,859.6495823999867,179.0,2.0,77.0,0.026883059299123206,3,0.8414715999970213,1.0553761000046507,7,1.269844499998726,1.4397150999866426,1,1.5349201000062749,1.6661407999927178,,,61.0,54.0,67809,64.0,
