x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,finalOpacity,postLoc,postOri,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,4.208885599859059,60.13177830004133,0,55.820580600062385,55.920574499992654,0.05811129999347031,55.91981299989857,,,,,,,,,,,,,,,,,,,,80621,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,60.19286710000597,83.86535630002618,0,23.537011299980804,23.670392400119454,0.025364300003275275,23.67790520004928,,,,,,,,,,,,,,,,,,,,80621,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,83.92822290002368,92.2225097999908,0,8.175571199972183,8.292169699911028,0.02476499998010695,8.30027010012418,,,,,,,,,,,,,,,,,,,,80621,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,92.26852559996769,116.1808682999108,0,23.793903100071475,23.91068800003268,0.022660800023004413,23.916714400053024,,,,,,,,,,,,,,,,,,,,80621,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,116.2516163000837,119.57785460003652,0,3.1941885999403894,3.3242246999870986,0.026046699844300747,3.3346535998862237,,,,,,,,,,,,,,,,,,,,80621,60.0,
77,77,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,119.59725239989348,126.0,2.0,72.0,1.0,5,1.6581969000399113,1.808311700122431,0,1.0162581999320537,1.1163466998841614,6,2.0737112001515925,2.141780300065875,,,,,80621,60.0,
-77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,128.18630219995975,150.0,2.0,72.0,1.0,2,1.1893607000820339,1.2893497000914067,1,4.762825700221583,4.890672200126573,1,1.444569000042975,1.5489585001487285,,,,,80621,60.0,
77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,139.81851770007052,132.0,2.0,72.0,1.0,5,1.0998094000387937,1.2009344000834972,1,1.7679997999221087,1.8655081000179052,6,1.4001388000324368,1.5004269001074135,,,,,80621,60.0,
77,77,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,147.98423249996267,138.0,2.0,72.0,1.0,5,0.9144059000536799,1.014491899870336,6,2.0227842999156564,2.140907800057903,6,1.316281700041145,1.4159756998997182,,,,,80621,60.0,
77,77,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,156.25689000007696,138.0,2.0,72.0,1.0,5,0.5099717997945845,0.659963299985975,7,1.125302700093016,1.2128944001160562,6,1.0785509999841452,1.1452269000001252,,,,,80621,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,163.0931283000391,169.1812141998671,0,5.969195400131866,6.085867400048301,0.020588500192388892,6.093912900192663,,,,,,,,,,,,,,,,,,,,80621,60.0,
