x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,finalOpacity,postLoc,postOri,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,2.517812599980971,6.2351983999833465,2,3.631846999982372,3.715208999987226,0.07475430000340566,3.7149428999982774,,,,,,,,,,,,,,,,,,,,,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,6.279606399999466,6.385033999977168,2,0.036116300005232915,0.10311470000306144,0.0252152000030037,0.11124410000047646,,,,,,,,,,,,,,,,,,,,,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,6.42769679997582,6.518175599980168,2,0.023184999998193234,0.08821099999477156,0.01259199998457916,0.09619710000697523,,,,,,,,,,,,,,,,,,,,,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,6.559368899994297,6.651719299989054,2,0.024926900019636378,0.09004940002341755,0.014314700005343184,0.09768130001612008,,,,,,,,,,,,,,,,,,,,,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,6.688460399978794,6.819830799999181,2,0.04496040000231005,0.12950879998970777,0.018362300004810095,0.13785669999197125,,,,,,,,,,,,,,,,,,,,,60.0,
77,77,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,6.836883499985561,138.0,2.0,72.0,1.0,2,0.38214550001430325,0.53226530001848,1,0.035408099996857345,0.1356722000055015,1,0.3404349999909755,0.4230403999972623,,,,,,60.0,
-77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,11.624327400000766,174.0,2.0,72.0,1.0,2,0.01129579998087138,0.013223699992522597,1,0.011618099990300834,0.011594499985221773,1,0.5462124999903608,0.663224399992032,,,,,,60.0,
77,77,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,16.5774548999907,174.0,2.0,72.0,1.0,2,1.030710499995621,1.1475739000015892,1,0.5078755999857094,0.6414978000102565,1,0.4652755999995861,0.598585900006583,,,,,,60.0,
77,77,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,23.257181399996625,150.0,2.0,72.0,1.0,2,1.1329039999982342,1.2492131000035442,1,0.34242440000525676,0.4427795000083279,1,0.29137409999384545,0.4083532000076957,,,,,,60.0,
77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,29.292192499997327,138.0,2.0,72.0,1.0,2,0.24936889999662526,0.38281400001142174,1,0.17765199998393655,0.27651090000290424,1,0.1941596000106074,0.346896300005028,,,,,,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,34.02377449997584,34.755220099992584,1,0.5816675999958534,0.7293332999979611,0.018393000005744398,0.7370980000123382,,,,,,,,,,,,,,,,,,,,,60.0,
,,,0,0,-1,0,0.0969100130080564,0.2,,,,,,,,,staircase,34.769934299984016,144.0,2.0,72.0,0.2,,,,6,0.8427575000096112,0.8937936000002082,,,,1,,,,,60.0,
,,,0,1,-1,0,0.0969100130080564,0.16,,,,,,,,,staircase,39.37781069998164,132.0,2.0,72.0,0.16,,,,0,0.3568823999958113,0.42549150000559166,,,,0,,,,,60.0,
,,,0,2,-1,0,0.0969100130080564,0.2,,,,,,,,,staircase,43.316955299989786,156.0,2.0,72.0,0.2,,,,6,0.270787300018128,0.3731007000023965,,,,1,,,,,60.0,
,,,0,3,-1,0,0.0969100130080564,0.2,,,,,,,,,staircase,48.18875159998424,144.0,2.0,72.0,0.2,,,,7,0.3169608000025619,0.4169227999809664,,,,1,,,,,60.0,
,,,0,4,-1,0,0.0969100130080564,0.16,,,,,,,,,staircase,52.32079569998314,144.0,2.0,72.0,0.16,,,,0,0.28805370000191033,0.4537469000206329,,,,0,,,,,60.0,
,,,0,5,-1,0,0.0969100130080564,0.2,,,,,,,,,staircase,56.48928779998096,150.0,2.0,72.0,0.2,,,,7,0.41752819999237545,0.5349359000101686,,,,1,,,,,60.0,
,,,0,6,-1,0,0.0969100130080564,0.2,,,,,,,,,staircase,60.84390249999706,174.0,2.0,72.0,0.2,,,,7,0.5763486999785528,0.7266047999728471,,,,1,,,,,60.0,
,,,0,-1,-1,0,,,materials/instructions\11_session_start.png,65.82090009999229,66.90334679998341,0,0.897876000002725,1.0807102000107989,0.012115899997297674,1.0884433000173885,,,,,,,,,,,,,,,,,,,,,60.0,
,,,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18666666666666668,,,,60.0,
-77,77,0,0,0,0,5,,,,,,,,,,,session,66.92013359998236,138.0,2.0,72.0,0.18666666666666668,2,0.31900270000915043,0.3875420000113081,6,0.15860310001880862,0.3276524000102654,6,0.2950552000256721,0.41181000001961365,,,54.0,54.0,,60.0,
-77,77,-45,0,1,1,4,,,,,,,,,,,session,73.88984889999847,138.0,2.0,72.0,0.18666666666666668,5,0.348703800002113,0.4821613999956753,6,0.011752199992770329,0.35399810000672005,6,0.011882599996170029,0.013794200000120327,,,57.0,72.0,,60.0,
-77,-77,45,0,2,2,14,,,,,,,,,,,session,80.62136569997529,132.0,2.0,72.0,0.18666666666666668,5,0.011184500006493181,0.01309880000189878,6,0.011456999985966831,0.013476099993567914,6,0.011100399977294728,0.012959999992744997,,,66.0,57.0,,60.0,
77,-77,0,0,3,3,9,,,,,,,,,,,session,86.37757569999667,162.0,2.0,72.0,0.18666666666666668,5,0.29704340000171214,0.4137707999907434,6,0.30553660000441596,0.40779009999823757,6,0.2930183999997098,0.3765354999923147,,,72.0,54.0,,60.0,
77,-77,-45,0,4,4,8,,,,,,,,,,,session,94.538341699983,150.0,2.0,72.0,0.18666666666666668,5,0.332705500011798,0.4144762000069022,6,0.03321209998102859,0.13457699998980388,6,0.27034240000648424,0.37044840000453405,,,72.0,54.0,,60.0,
77,77,-45,0,5,5,0,,,,,,,,,,,session,101.5078587999742,168.0,2.0,72.0,0.18666666666666668,5,0.26571410000906326,0.3994836000201758,7,0.011671200016280636,0.033907400007592514,7,0.23444450000533834,0.3356217000109609,,,72.0,54.0,,60.0,
77,77,90,0,6,6,3,,,,,,,,,,,session,108.63140980000026,150.0,2.0,72.0,0.18666666666666668,5,0.26291780002065934,0.39832410000963137,7,0.03460340001038276,0.17026360001182184,7,0.28461109998170286,0.41790249999030493,,,72.0,63.0,,60.0,
-77,77,90,0,7,7,7,,,,,,,,,,,session,116.33873259997927,168.0,2.0,72.0,0.18666666666666668,5,0.38404009997611865,0.5675611999758985,7,0.3539854999980889,0.4718519999878481,7,0.3695486999931745,0.4862418999837246,,,60.0,51.0,,60.0,
-77,77,45,0,8,8,6,,,,,,,,,,,session,123.9587884999928,180.0,2.0,72.0,0.18666666666666668,5,0.23812769999494776,0.38778729998739436,7,0.28465800001868047,0.4186706000182312,7,0.13561649998882785,0.3032070999906864,,,48.0,63.0,,60.0,
77,-77,90,0,9,9,11,,,,,,,,,,,session,131.36549159997958,168.0,2.0,72.0,0.18666666666666668,5,0.2614441999758128,0.4304035999812186,6,0.3352399000141304,0.48451100001693703,6,0.013061300007393584,0.2031598000030499,,,57.0,63.0,,60.0,
-77,-77,90,0,10,10,15,,,,,,,,,,,session,139.42412879999029,174.0,2.0,72.0,0.18666666666666668,5,0.30122520000441,0.4513904000050388,7,0.2705026999756228,0.40393079997738823,7,0.31920030000037514,0.4191801000270061,,,66.0,51.0,,60.0,
-77,-77,0,0,11,11,13,,,,,,,,,,,session,146.9919170999783,138.0,2.0,72.0,0.18666666666666668,5,0.3676602999912575,0.4854236999817658,7,0.29533570000785403,0.4129633999837097,7,0.2852224000089336,0.36762020000605844,,,48.0,48.0,,60.0,
77,77,0,0,12,12,1,,,,,,,,,,,session,153.5983415999799,180.0,2.0,72.0,0.18666666666666668,5,0.23748179999529384,0.3542919999745209,6,0.011954700021306053,0.013870599999791011,6,0.01113569998415187,0.013082999998005107,,,72.0,69.0,,60.0,
-77,-77,-45,0,13,13,12,,,,,,,,,,,session,161.3950571999885,174.0,2.0,72.0,0.18666666666666668,5,0.3028338000003714,0.4535891000123229,7,1.141401400003815,1.2917660999810323,7,0.3020111000223551,0.41792100001475774,,,57.0,66.0,,60.0,
77,77,45,0,14,14,2,,,,,,,,,,,session,169.94341209999402,138.0,2.0,72.0,0.18666666666666668,5,0.8037686000170652,0.8873818000138272,7,0.5545800999971107,0.6879686999891419,7,0.3433249000227079,0.42664100002730265,,,48.0,57.0,,60.0,
77,-77,45,0,15,15,10,,,,,,,,,,,session,177.4580818999966,174.0,2.0,72.0,0.18666666666666668,5,0.41554779998841695,0.5325722999987192,7,0.50238360001822,0.6199957000208087,7,0.3678467999852728,0.5144213000021409,,,48.0,54.0,,60.0,
77,-77,45,0,15,15,10,,,materials/instructions\12_break.png,185.4830818999908,186.60388009998132,5,1.0192622000176925,1.1192698999948334,0.024373399995965883,1.1273002999951132,,,,,,,,,,,,,,,,,,,,,60.0,
-77,-77,90,1,0,16,15,,,,,,,,,,,session,186.62005479997606,180.0,2.0,72.0,0.18666666666666668,5,0.013070000015432015,0.015351200010627508,7,0.3333025999891106,0.4668379999930039,7,0.3715102999994997,0.4855364999966696,,,60.0,51.0,,60.0,
77,-77,45,1,1,17,10,,,,,,,,,,,session,193.89723169998615,138.0,2.0,72.0,0.18666666666666668,5,0.2303578999999445,0.36378429998876527,7,0.29645419999724254,0.4083676000009291,7,0.26088159999926575,0.4112533000006806,,,48.0,63.0,,60.0,
