x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,3.5974794999929145,4.60269100003643,2,0.33616990002337843,1.0028689000173472,0.03135359997395426,1.0318409000174142,,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,4.704370599996764,4.8434848000179045,2,0.036497099965345114,0.1365469999727793,0.030647800012957305,0.16412440000567585,,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,4.9489500999916345,5.087827600014862,2,0.0362015999853611,0.13622669997857884,0.03047179995337501,0.16384389996528625,,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,5.205520500021521,5.276556099997833,2,0.03583429998252541,0.06898109999019653,0.03106170002138242,0.09790490003069863,,,,,,,,,,,,,,,,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,5.376000799995381,5.915189900028054,2,0.43623999995179474,0.5362479999894276,0.030504000023938715,0.5635661000269465,,,,,,,,,,,,,,,,,,30.0,
77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,5.946573099994566,66.0,24.0,36.0,0.2,2,0.006470599968452007,0.006508999969810247,1,0.5721815000288188,0.971606699982658,1,0.13934779999544844,0.3064148999983445,,,30.0,
-77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,11.862004399998114,75.0,24.0,36.0,0.2,2,0.007651499996427447,0.007732400030363351,1,0.27128319995244965,0.40608519996749237,1,0.008412100025452673,0.10616560000926256,,,30.0,
77,77,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,17.1368445000262,66.0,24.0,36.0,0.2,2,1.0383746000006795,1.237860900000669,1,0.1053970999782905,0.0074702000129036605,1,0.1045398999704048,0.03772209997987375,,,30.0,
77,77,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,23.015700499992818,90.0,24.0,36.0,0.2,2,0.039422999951057136,0.17249889997765422,1,0.03914250002708286,0.1386530000017956,1,0.03880959999514744,0.13945570000214502,,,30.0,
77,77,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,28.76683189999312,84.0,24.0,36.0,0.2,2,0.8729059000033885,0.9730779000092298,1,0.07320179999805987,0.1392702999874018,1,0.00923769996734336,0.03999409999232739,,,30.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,35.10145170002943,36.0065701000276,1,0.7699130999972112,0.9033502999809571,0.03182480001123622,0.9318687000195496,,,,,,,,,,,,,,,,,,30.0,
,,,0,0,-1,0,0.0969100130080564,0.1,,,,,,,,,staircase,36.03826180001488,78.0,24.0,36.0,0.1,,,,1,0.009780199965462089,0.04166709998389706,,,,0,,30.0,
,,,0,1,-1,0,0.0969100130080564,0.125,,,,,,,,,staircase,40.838727099995594,69.0,24.0,36.0,0.125,,,,1,0.0097430000314489,0.00985870003933087,,,,0,,30.0,
,,,0,2,-1,0,0.0969100130080564,0.15625,,,,,,,,,staircase,45.299929700035136,81.0,24.0,36.0,0.15625,,,,1,0.30642610002541915,0.406198900018353,,,,0,,30.0,
,,,,,,,,,,,,,,,,,staircase,50.55758720001904,,,,,,,,,,,,,,,,,
