x,y,orientation,.thisRepN,.thisTrialN,.thisN,.thisIndex,.stepSize,.intensity,image_name,global_start_time,global_end_time,pressKey,pressRT,releaseRT,image_started,image_ended,name,globalTime,fixation_dur,stimulation_dur,post_fixation,opacity,locationResponse_pressKey,locationResponse_pressRT,locationResponse_releaseRT,orientationResponse_pressKey,orientationResponse_pressRT,orientationResponse_releaseRT,pasResponse_pressKey,pasResponse_pressRT,pasResponse_releaseRT,.response,finalOpacity,postLoc,postOri,ID,frameRate,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\1_welcome.png,4.002784699987387,5.769173699984094,0,1.629514600004768,1.7643330999999307,0.05564149998826906,1.7678958000033163,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\2_instruction.png,5.8206867999979295,6.233769699989352,0,0.26101940000080504,0.4110081000253558,0.019030600000405684,0.41986040002666414,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\3_location_demo.png,6.268149499985157,6.716087799984962,0,0.34716340000159107,0.44593729998450726,0.02285690000280738,0.4569288000056986,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\4_orientation_demo.png,6.7736287000007,7.101127299974905,0,0.24174009999842383,0.32512309998855926,0.01596580000477843,0.3326289000106044,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\5_pas_demo.png,7.142239599983441,7.700144799979171,0,0.4559644999972079,0.556067700003041,0.014351199992233887,0.5661165999772493,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,7.718747799983248,156.0,2.0,72.0,0.1,5,12.625938899989706,12.792820199974813,7,2.8701153000001796,3.0240855000156444,6,3.9289159000036307,4.0102169000019785,,,,,testmagda,60.0,
77,77,90,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,31.57137409999268,156.0,2.0,72.0,0.1,5,1.9325683000206482,2.0813053000019863,6,1.6457809999992605,1.801869799994165,7,5.0609232999850065,5.161774899985176,,,,,testmagda,60.0,
-77,77,-45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,44.578834899992216,132.0,2.0,72.0,0.1,2,1.2549258000217378,1.3882879000157118,1,2.745493800000986,2.845680500002345,1,2.577489699993748,2.6612192999746185,,,,,testmagda,60.0,
77,77,0,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,55.571626299992204,168.0,2.0,72.0,0.1,5,0.2493345999973826,0.3493843000032939,0,2.326766999991378,2.427281199983554,7,2.4343285000068136,2.5160488999972586,,,,,testmagda,60.0,
77,77,45,0,-1,-1,0,0.0969100130080564,None,,,,,,,,,session,65.0442227999738,180.0,2.0,72.0,0.1,5,0.3879490999970585,0.5377831000078004,6,2.5436487999977544,2.6464605999935884,7,1.7464975999901071,1.8111283000034746,,,,,testmagda,60.0,
,,,0,-1,-1,0,0.0969100130080564,None,materials/instructions\10_staircase_start.png,74.56431190000148,99.91964670000016,0,25.23655050000525,25.35327769999276,0.022449000010965392,25.361277700023493,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
,,,0,0,-1,0,0.0969100130080564,0.1,,,,,,,,,staircase,99.93472259998089,144.0,2.0,72.0,0.1,,,,1,2.0392071999958716,2.156608600023901,,,,1,,,,testmagda,60.0,
,,,0,1,-1,0,0.0969100130080564,0.08,,,,,,,,,staircase,105.80813199997647,174.0,2.0,72.0,0.08,,,,6,1.2700287000043318,1.3700521000137087,,,,1,,,,testmagda,60.0,
,,,0,2,-1,0,0.0969100130080564,0.064,,,,,,,,,staircase,111.39679699999397,132.0,2.0,72.0,0.064,,,,0,0.39980139999534003,0.5151495999889448,,,,1,,,,testmagda,60.0,
,,,0,3,-1,0,0.0969100130080564,0.0512,,,,,,,,,staircase,115.8518082999799,180.0,2.0,72.0,0.0512,,,,6,0.720753200002946,0.8207587000215426,,,,1,,,,testmagda,60.0,
,,,0,4,-1,0,0.0969100130080564,0.04096,,,,,,,,,staircase,120.98814649999258,144.0,2.0,72.0,0.04096,,,,7,1.9279849999875296,2.096515499986708,,,,1,,,,testmagda,60.0,
,,,0,5,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,126.79260849999264,168.0,2.0,72.0,0.032768000000000005,,,,1,0.4926931000081822,0.5442534000030719,,,,1,,,,testmagda,60.0,
,,,0,6,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,131.46173699997598,132.0,2.0,72.0,0.026214400000000006,,,,1,1.8061728000175208,1.8810016000061296,,,,0,,,,testmagda,60.0,
,,,0,7,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,136.9052601000003,162.0,2.0,72.0,0.032768000000000005,,,,1,2.1721604999911506,2.3223252999887336,,,,1,,,,testmagda,60.0,
,,,0,8,-1,0,0.0969100130080564,0.032768000000000005,,,,,,,,,staircase,143.4384093999979,150.0,2.0,72.0,0.032768000000000005,,,,7,0.736132699996233,0.8544101000006776,,,,1,,,,testmagda,60.0,
,,,0,9,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,148.10732029998326,150.0,2.0,72.0,0.026214400000000006,,,,0,0.4905626999970991,0.607352399994852,,,,1,,,,testmagda,60.0,
,,,0,10,-1,0,0.0969100130080564,0.026214400000000006,,,,,,,,,staircase,152.52714849999757,162.0,2.0,72.0,0.026214400000000006,,,,0,0.33612699998775497,0.4845130000030622,,,,1,,,,testmagda,60.0,
,,,0,11,-1,0,0.0969100130080564,0.020971520000000004,,,,,,,,,staircase,157.03102529997705,144.0,2.0,72.0,0.020971520000000004,,,,0,0.6646958999917842,0.8325466999958735,,,,1,,,,testmagda,60.0,
,,,0,12,-1,0,0.0969100130080564,0.020971520000000004,,,,,,,,,staircase,162.2379968999885,138.0,2.0,72.0,0.020971520000000004,,,,7,0.8451836000022013,0.9787076000066008,,,,1,,,,testmagda,60.0,
,,,0,13,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,166.83805949997623,162.0,2.0,72.0,0.016777216000000005,,,,1,3.1028872999886516,3.218883099994855,,,,0,,,,testmagda,60.0,
,,,0,14,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,174.07686929998454,138.0,2.0,72.0,0.020971520000000007,,,,6,1.2047783000161871,1.3048928000207525,,,,1,,,,testmagda,60.0,
,,,0,15,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,178.99661109998124,144.0,2.0,72.0,0.020971520000000007,,,,7,1.114658899983624,1.2329313999798615,,,,1,,,,testmagda,60.0,
,,,0,16,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,184.4884770999779,180.0,2.0,72.0,0.016777216000000005,,,,0,1.0994000000064261,1.2493284000083804,,,,1,,,,testmagda,60.0,
,,,0,17,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,190.0572545999894,174.0,2.0,72.0,0.016777216000000005,,,,1,1.4028573999821674,1.5030191999976523,,,,1,,,,testmagda,60.0,
,,,0,18,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,195.77744859998347,150.0,2.0,72.0,0.013421772800000004,,,,6,1.4645352000079583,1.6486616000183858,,,,0,,,,testmagda,60.0,
,,,0,19,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,201.24760309999692,150.0,2.0,72.0,0.016777216000000005,,,,0,0.3866268999991007,0.5357476000208408,,,,1,,,,testmagda,60.0,
,,,0,20,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,206.20439139998052,126.0,2.0,72.0,0.016777216000000005,,,,0,0.7054128000163473,0.8721744000213221,,,,1,,,,testmagda,60.0,
,,,0,21,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,210.49063889999525,174.0,2.0,72.0,0.013421772800000004,,,,6,2.491981900006067,2.592075799999293,,,,0,,,,testmagda,60.0,
,,,0,22,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,217.29380059998948,180.0,2.0,72.0,0.016777216000000005,,,,7,0.8211402000160888,0.9380128000047989,,,,1,,,,testmagda,60.0,
,,,0,23,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,222.56317409998155,144.0,2.0,72.0,0.016777216000000005,,,,6,0.8846181999833789,1.0178817999840248,,,,1,,,,testmagda,60.0,
,,,0,24,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,227.9569742999738,174.0,2.0,72.0,0.013421772800000004,,,,6,1.6148438999953214,1.747425799985649,,,,0,,,,testmagda,60.0,
,,,0,25,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,233.9387876999972,126.0,2.0,72.0,0.016777216000000005,,,,0,0.6657932999951299,0.8500250999932177,,,,1,,,,testmagda,60.0,
,,,0,26,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,238.20890050000162,156.0,2.0,72.0,0.016777216000000005,,,,6,0.7355432999902405,0.8388467999757268,,,,1,,,,testmagda,60.0,
,,,0,27,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,242.96397809998598,150.0,2.0,72.0,0.013421772800000004,,,,0,1.062055699992925,1.1830672000069171,,,,0,,,,testmagda,60.0,
,,,0,28,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,248.25657599998522,180.0,2.0,72.0,0.016777216000000005,,,,0,0.9425579000089783,1.0926404999918304,,,,1,,,,testmagda,60.0,
,,,0,29,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,253.69125859998167,162.0,2.0,72.0,0.016777216000000005,,,,7,5.6771792999934405,5.827075200009858,,,,1,,,,testmagda,60.0,
,,,0,30,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,263.5286877999897,168.0,2.0,72.0,0.013421772800000004,,,,7,1.3204321000084747,1.47004030001699,,,,1,,,,testmagda,60.0,
,,,0,31,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,269.12266739999177,150.0,2.0,72.0,0.013421772800000004,,,,1,1.6549883999978192,1.7884274999960326,,,,1,,,,testmagda,60.0,
,,,0,32,-1,0,0.0969100130080564,0.010737418240000003,,,,,,,,,staircase,275.07115370000247,156.0,2.0,72.0,0.010737418240000003,,,,7,1.4685723999864422,1.6689619999960996,,,,0,,,,testmagda,60.0,
,,,0,33,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,280.65721699999995,150.0,2.0,72.0,0.013421772800000004,,,,1,1.3234829000139143,1.4756489999999758,,,,0,,,,testmagda,60.0,
,,,0,34,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,285.94636489998084,150.0,2.0,72.0,0.016777216000000005,,,,1,1.1429847000108566,1.276757000014186,,,,0,,,,testmagda,60.0,
,,,0,35,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,291.1521475999907,138.0,2.0,72.0,0.020971520000000007,,,,1,0.8215055000036955,0.9350364999845624,,,,1,,,,testmagda,60.0,
,,,0,36,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,296.0042047999741,132.0,2.0,72.0,0.020971520000000007,,,,7,1.5065480999764986,1.6912423999747261,,,,1,,,,testmagda,60.0,
,,,0,37,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,301.22397639998235,132.0,2.0,72.0,0.016777216000000005,,,,6,1.014288199978182,1.1151939999836031,,,,1,,,,testmagda,60.0,
,,,0,38,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,305.8604041999788,180.0,2.0,72.0,0.016777216000000005,,,,6,0.6859876000089571,0.8026834000193048,,,,1,,,,testmagda,60.0,
,,,0,39,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,310.9802350999962,162.0,2.0,72.0,0.013421772800000004,,,,0,1.616392600000836,1.7804986000119243,,,,0,,,,testmagda,60.0,
,,,0,40,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,317.35430589999305,174.0,2.0,72.0,0.016777216000000005,,,,0,2.0846871999965515,2.2691525999980513,,,,1,,,,testmagda,60.0,
,,,0,41,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,323.8409979999997,180.0,2.0,72.0,0.016777216000000005,,,,0,2.139578200003598,2.306438600004185,,,,0,,,,testmagda,60.0,
,,,0,42,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,330.4632947999926,150.0,2.0,72.0,0.020971520000000007,,,,7,1.318276700010756,1.4682920000050217,,,,1,,,,testmagda,60.0,
,,,0,43,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,335.8234919999959,180.0,2.0,72.0,0.020971520000000007,,,,6,0.9751862999983132,1.0918456999934278,,,,1,,,,testmagda,60.0,
,,,0,44,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,341.42287539999234,150.0,2.0,72.0,0.016777216000000005,,,,0,1.113049100007629,1.3124016000074334,,,,1,,,,testmagda,60.0,
,,,0,45,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,346.55733459998737,180.0,2.0,72.0,0.016777216000000005,,,,0,1.2259223999863025,1.3593452000059187,,,,1,,,,testmagda,60.0,
,,,0,46,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,352.22979929999565,132.0,2.0,72.0,0.013421772800000004,,,,1,1.5444376000086777,1.6725451000093017,,,,0,,,,testmagda,60.0,
,,,0,47,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,357.4353926999902,162.0,2.0,72.0,0.016777216000000005,,,,6,0.7163231000013184,0.8497510000015609,,,,1,,,,testmagda,60.0,
,,,0,48,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,362.6217871999834,162.0,2.0,72.0,0.016777216000000005,,,,7,1.1728715999925043,1.3063012000056915,,,,1,,,,testmagda,60.0,
,,,0,49,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,367.9415053999983,174.0,2.0,72.0,0.013421772800000004,,,,6,1.1390085000020918,1.289187700022012,,,,0,,,,testmagda,60.0,
,,,0,50,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,373.44511309999507,156.0,2.0,72.0,0.016777216000000005,,,,1,1.341850799974054,1.5142486999975517,,,,0,,,,testmagda,60.0,
,,,0,51,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,378.8740460999834,174.0,2.0,72.0,0.020971520000000007,,,,1,1.939948099985486,2.0560005999868736,,,,1,,,,testmagda,60.0,
,,,0,52,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,385.65628299998934,138.0,2.0,72.0,0.020971520000000007,,,,7,1.5054689999960829,1.6556543000042439,,,,0,,,,testmagda,60.0,
,,,0,53,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,390.94062859998667,138.0,2.0,72.0,0.02621440000000001,,,,0,0.3389509000116959,0.48817190001136623,,,,1,,,,testmagda,60.0,
,,,0,54,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,395.0466434999835,144.0,2.0,72.0,0.02621440000000001,,,,1,0.7552672000019811,0.8884958000271581,,,,1,,,,testmagda,60.0,
,,,0,55,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,399.6483872999961,168.0,2.0,72.0,0.020971520000000007,,,,7,0.3485616999969352,0.44842010000138544,,,,1,,,,testmagda,60.0,
,,,0,56,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,404.8545833999815,126.0,2.0,72.0,0.020971520000000007,,,,1,0.37479889998212457,0.50901859998703,,,,1,,,,testmagda,60.0,
,,,0,57,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,408.77456439999514,144.0,2.0,72.0,0.016777216000000005,,,,7,1.0518457000143826,1.2018690000113565,,,,1,,,,testmagda,60.0,
,,,0,58,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,413.6909581999935,132.0,2.0,72.0,0.016777216000000005,,,,1,0.9555785999982618,1.0739830000093207,,,,1,,,,testmagda,60.0,
,,,0,59,-1,0,0.0969100130080564,0.013421772800000004,,,,,,,,,staircase,418.2799384999962,150.0,2.0,72.0,0.013421772800000004,,,,0,1.1596142000053078,1.2663351999945007,,,,0,,,,testmagda,60.0,
,,,0,60,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,423.3584312000021,126.0,2.0,72.0,0.016777216000000005,,,,0,0.3970590000099037,0.5469073000131175,,,,1,,,,testmagda,60.0,
,,,0,61,-1,0,0.0969100130080564,0.016777216000000005,,,,,,,,,staircase,427.7220482999983,168.0,2.0,72.0,0.016777216000000005,,,,7,1.343356199999107,1.473607100022491,,,,0,,,,testmagda,60.0,
,,,0,62,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,433.30829219997395,174.0,2.0,72.0,0.020971520000000007,,,,0,0.343553000013344,0.4938192999979947,,,,1,,,,testmagda,60.0,
,,,0,63,-1,0,0.0969100130080564,0.020971520000000007,,,,,,,,,staircase,438.0300448999915,150.0,2.0,72.0,0.020971520000000007,,,,7,5.80031059999601,5.913376499986043,,,,0,,,,testmagda,60.0,
,,,0,64,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,447.7539693999861,156.0,2.0,72.0,0.02621440000000001,,,,6,0.011266300018178299,0.013404500001342967,,,,0,,,,testmagda,60.0,
,,,0,65,-1,0,0.0969100130080564,0.03276800000000001,,,,,,,,,staircase,451.69217509997543,174.0,2.0,72.0,0.03276800000000001,,,,0,0.3382607000239659,0.47169710000162013,,,,1,,,,testmagda,60.0,
,,,0,66,-1,0,0.0969100130080564,0.03276800000000001,,,,,,,,,staircase,456.3747645999829,156.0,2.0,72.0,0.03276800000000001,,,,6,0.32372610000311397,0.39236980001442134,,,,1,,,,testmagda,60.0,
,,,0,67,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,460.67938279997907,174.0,2.0,72.0,0.02621440000000001,,,,6,0.3232985000067856,0.4394322000152897,,,,1,,,,testmagda,60.0,
,,,0,68,-1,0,0.0969100130080564,0.02621440000000001,,,,,,,,,staircase,465.3472550000006,174.0,2.0,72.0,0.02621440000000001,,,,0,0.8316913000016939,0.9146400000026915,,,,0,,,,testmagda,60.0,
,,,0,69,-1,0,0.0969100130080564,0.03276800000000001,,,,,,,,,staircase,471.0407503999886,150.0,2.0,72.0,0.03276800000000001,,,,6,0.8933077000256162,0.9938010000041686,,,,1,,,,testmagda,60.0,
,,,0,-1,-1,0,,,materials/instructions\11_session_start.png,475.8808155999868,494.0362951999996,0,18.03947160000098,18.153476400009822,0.011511699995025992,18.163660599995637,,,,,,,,,,,,,,,,,,,,testmagda,60.0,
,,,0,-1,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019466551296000008,,,testmagda,60.0,
77,77,0,0,0,0,1,,,,,,,,,,,session,494.0558437999862,132.0,2.0,72.0,0.019466551296000008,5,1.778578400000697,1.9290054999873973,0,0.8530732000072021,0.9697605000110343,6,4.000420399999712,4.116489899985027,,,66.0,66.0,testmagda,60.0,
77,-77,45,0,1,1,10,,,,,,,,,,,session,506.9302543999802,132.0,2.0,72.0,0.019466551296000008,5,1.2538529000012204,1.3593819999950938,7,1.753270999994129,1.8893239000171889,1,3.068659500015201,3.201961000013398,,,69.0,66.0,testmagda,60.0,
