x;y;orientation;condition;cue_type
77;77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;-77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;-77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
77;77;90;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;-45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;0;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
-77;77;45;allcue;C:\Users\kciup\Desktop\cue\materials\all_cue.png
