x;y;orientation;condition
77;77;-45;allcue
77;77;0;allcue
77;77;45;allcue
77;77;90;allcue
-77;77;-45;allcue
-77;77;0;allcue
-77;77;45;allcue
-77;77;90;allcue
77;-77;-45;allcue
77;-77;0;allcue
77;-77;45;allcue
77;-77;90;allcue
-77;-77;-45;allcue
-77;-77;0;allcue
-77;-77;45;allcue
-77;-77;90;allcue
77;77;-45;centralcue
77;77;0;centralcue
77;77;45;centralcue
77;77;90;centralcue
-77;77;-45;centralcue
-77;77;0;centralcue
-77;77;45;centralcue
-77;77;90;centralcue
77;-77;-45;centralcue
77;-77;0;centralcue
77;-77;45;centralcue
77;-77;90;centralcue
-77;-77;-45;centralcue
-77;-77;0;centralcue
-77;-77;45;centralcue
-77;-77;90;centralcue
77;77;-45;locationcue
77;77;0;locationcue
77;77;45;locationcue
77;77;90;locationcue
-77;77;-45;locationcue
-77;77;0;locationcue
-77;77;45;locationcue
-77;77;90;locationcue
77;-77;-45;locationcue
77;-77;0;locationcue
77;-77;45;locationcue
77;-77;90;locationcue
-77;-77;-45;locationcue
-77;-77;0;locationcue
-77;-77;45;locationcue
-77;-77;90;locationcue
77;77;-45;nocue
77;77;0;nocue
77;77;45;nocue
77;77;90;nocue
-77;77;-45;nocue
-77;77;0;nocue
-77;77;45;nocue
-77;77;90;nocue
77;-77;-45;nocue
77;-77;0;nocue
77;-77;45;nocue
77;-77;90;nocue
-77;-77;-45;nocue
-77;-77;0;nocue
-77;-77;45;nocue
-77;-77;90;nocue
77;77;-45;allcue
77;77;0;allcue
77;77;45;allcue
77;77;90;allcue
-77;77;-45;allcue
-77;77;0;allcue
-77;77;45;allcue
-77;77;90;allcue
77;-77;-45;allcue
77;-77;0;allcue
77;-77;45;allcue
77;-77;90;allcue
-77;-77;-45;allcue
-77;-77;0;allcue
-77;-77;45;allcue
-77;-77;90;allcue
77;77;-45;centralcue
77;77;0;centralcue
77;77;45;centralcue
77;77;90;centralcue
-77;77;-45;centralcue
-77;77;0;centralcue
-77;77;45;centralcue
-77;77;90;centralcue
77;-77;-45;centralcue
77;-77;0;centralcue
77;-77;45;centralcue
77;-77;90;centralcue
-77;-77;-45;centralcue
-77;-77;0;centralcue
-77;-77;45;centralcue
-77;-77;90;centralcue
77;77;-45;locationcue
77;77;0;locationcue
77;77;45;locationcue
77;77;90;locationcue
-77;77;-45;locationcue
-77;77;0;locationcue
-77;77;45;locationcue
-77;77;90;locationcue
77;-77;-45;locationcue
77;-77;0;locationcue
77;-77;45;locationcue
77;-77;90;locationcue
-77;-77;-45;locationcue
-77;-77;0;locationcue
-77;-77;45;locationcue
-77;-77;90;locationcue
77;77;-45;nocue
77;77;0;nocue
77;77;45;nocue
77;77;90;nocue
-77;77;-45;nocue
-77;77;0;nocue
-77;77;45;nocue
-77;77;90;nocue
77;-77;-45;nocue
77;-77;0;nocue
77;-77;45;nocue
77;-77;90;nocue
-77;-77;-45;nocue
-77;-77;0;nocue
-77;-77;45;nocue
-77;-77;90;nocue
77;77;-45;allcue
77;77;0;allcue
77;77;45;allcue
77;77;90;allcue
-77;77;-45;allcue
-77;77;0;allcue
-77;77;45;allcue
-77;77;90;allcue
77;-77;-45;allcue
77;-77;0;allcue
77;-77;45;allcue
77;-77;90;allcue
-77;-77;-45;allcue
-77;-77;0;allcue
-77;-77;45;allcue
-77;-77;90;allcue
77;77;-45;centralcue
77;77;0;centralcue
77;77;45;centralcue
77;77;90;centralcue
-77;77;-45;centralcue
-77;77;0;centralcue
-77;77;45;centralcue
-77;77;90;centralcue
77;-77;-45;centralcue
77;-77;0;centralcue
77;-77;45;centralcue
77;-77;90;centralcue
-77;-77;-45;centralcue
-77;-77;0;centralcue
-77;-77;45;centralcue
-77;-77;90;centralcue
77;77;-45;locationcue
77;77;0;locationcue
77;77;45;locationcue
77;77;90;locationcue
-77;77;-45;locationcue
-77;77;0;locationcue
-77;77;45;locationcue
-77;77;90;locationcue
77;-77;-45;locationcue
77;-77;0;locationcue
77;-77;45;locationcue
77;-77;90;locationcue
-77;-77;-45;locationcue
-77;-77;0;locationcue
-77;-77;45;locationcue
-77;-77;90;locationcue
77;77;-45;nocue
77;77;0;nocue
77;77;45;nocue
77;77;90;nocue
-77;77;-45;nocue
-77;77;0;nocue
-77;77;45;nocue
-77;77;90;nocue
77;-77;-45;nocue
77;-77;0;nocue
77;-77;45;nocue
77;-77;90;nocue
-77;-77;-45;nocue
-77;-77;0;nocue
-77;-77;45;nocue
-77;-77;90;nocue
77;77;-45;allcue
77;77;0;allcue
77;77;45;allcue
77;77;90;allcue
-77;77;-45;allcue
-77;77;0;allcue
-77;77;45;allcue
-77;77;90;allcue
77;-77;-45;allcue
77;-77;0;allcue
77;-77;45;allcue
77;-77;90;allcue
-77;-77;-45;allcue
-77;-77;0;allcue
-77;-77;45;allcue
-77;-77;90;allcue
77;77;-45;centralcue
77;77;0;centralcue
77;77;45;centralcue
77;77;90;centralcue
-77;77;-45;centralcue
-77;77;0;centralcue
-77;77;45;centralcue
-77;77;90;centralcue
77;-77;-45;centralcue
77;-77;0;centralcue
77;-77;45;centralcue
77;-77;90;centralcue
-77;-77;-45;centralcue
-77;-77;0;centralcue
-77;-77;45;centralcue
-77;-77;90;centralcue
77;77;-45;locationcue
77;77;0;locationcue
77;77;45;locationcue
77;77;90;locationcue
-77;77;-45;locationcue
-77;77;0;locationcue
-77;77;45;locationcue
-77;77;90;locationcue
77;-77;-45;locationcue
77;-77;0;locationcue
77;-77;45;locationcue
77;-77;90;locationcue
-77;-77;-45;locationcue
-77;-77;0;locationcue
-77;-77;45;locationcue
-77;-77;90;locationcue
77;77;-45;nocue
77;77;0;nocue
77;77;45;nocue
77;77;90;nocue
-77;77;-45;nocue
-77;77;0;nocue
-77;77;45;nocue
-77;77;90;nocue
77;-77;-45;nocue
77;-77;0;nocue
77;-77;45;nocue
77;-77;90;nocue
-77;-77;-45;nocue
-77;-77;0;nocue
-77;-77;45;nocue
-77;-77;90;nocue
77;77;-45;allcue
77;77;0;allcue
77;77;45;allcue
77;77;90;allcue
-77;77;-45;allcue
-77;77;0;allcue
-77;77;45;allcue
-77;77;90;allcue
77;-77;-45;allcue
77;-77;0;allcue
77;-77;45;allcue
77;-77;90;allcue
-77;-77;-45;allcue
-77;-77;0;allcue
